trip type,Location,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
overnight,New South Wales,12978.88,12499.93,13069.81,13984.91,13800.41,14469.87,15049.56,15784.38,16107.63,17209.86,20090.22,22605.78,18093.87,19402.67,17600.94,30215.02
overnight,Victoria,9262.52,9147.58,9196.22,9690.06,10031.75,10339.76,10753.62,11181.62,11613.64,12974.40,14241.60,16205.53,13342.34,8853.36,12730.41,22487.28
overnight,Queensland,13226.06,12043.41,12143.46,11686.00,13633.66,14057.97,13717.03,13795.69,14587.79,15277.49,16938.13,18802.10,15268.70,16285.21,19647.32,28835.69
overnight,South Australia,3156.43,3118.97,3227.07,3259.28,3337.09,3146.35,3442.37,3564.58,3742.30,3816.68,4022.86,4850.28,4040.38,4335.07,4427.64,6693.51
overnight,Western Australia,4781.71,4364.90,4100.91,4227.59,5045.69,5094.02,6477.88,7058.60,7572.53,6945.35,6561.20,8211.38,7027.89,7336.58,8465.32,11461.98
overnight,Tasmania,1691.96,1527.35,1831.19,1533.09,1617.33,1804.76,1761.22,1880.38,1812.67,2352.30,2356.61,2843.76,2284.09,2334.78,2881.44,3510.23
overnight,Northern Territory,1394.52,1451.18,1451.13,1214.46,1312.11,1322.51,1513.79,1769.77,1841.62,1984.08,1739.01,2087.96,1562.13,1460.06,2065.67,2683.95
overnight,ACT,1088.03,994.90,1076.20,993.53,1048.50,1206.79,1264.40,1361.58,1384.29,1626.30,1625.32,1866.45,1388.15,1334.48,1229.50,2402.76
daytrip,New South Wales,4750.53,4757.15,5230.96,4974.97,5588.84,5652.19,5777.15,5574.35,5870.68,5933.27,6586.77,7575.72,6963.55,5999.72,5254.27,9706.24
daytrip,Victoria,3436.57,3897.91,3948.57,3713.31,4416.72,4482.86,4374.52,4235.47,4481.70,4833.07,5493.83,6211.05,5440.77,3796.03,5404.98,8789.44
daytrip,Queensland,3151.97,3257.62,3685.59,3461.66,4061.10,4379.17,4243.09,4003.02,4391.65,4204.71,4923.97,5296.59,5067.16,4499.72,4895.72,7112.12
daytrip,South Australia,892.72,1002.55,967.07,976.43,1084.67,1152.56,1217.83,1123.58,1279.97,1371.78,1598.63,1638.47,1541.14,1432.97,1516.74,2243.15
daytrip,Western Australia,1389.92,1224.03,1233.01,1278.87,1451.63,1474.35,1858.85,2095.37,2072.27,2130.92,1896.30,2318.48,2174.71,2192.67,2221.04,3255.47
daytrip,Tasmania,374.42,425.21,445.49,414.32,468.89,517.16,545.26,565.37,598.73,647.49,615.20,714.24,661.44,605.79,695.78,719.92
daytrip,Northern Territory,115.03,139.19,149.10,106.87,181.89,125.33,155.68,203.92,169.30,213.06,156.32,222.32,167.48,203.83,155.34,250.38
daytrip,ACT,283.09,221.62,280.77,231.14,290.63,281.53,243.22,314.85,315.26,309.81,300.71,344.09,328.16,212.40,302.48,612.46
