Rank,lat,long,Region,Avg. expenditure per trip ($) in year ending March 2023,Number of trips ('000)
1,-33.8688,151.2093,Sydney, 143,24 416
2,-37.8136,144.9631,Melbourne, 148,21 296
3,-27.4705,153.026,Brisbane, 137,17 353
4,-31.9523,115.8613,Perth, 127,15 618
5,-28.0167,153.4,Gold Coast, 144,8 094
6,-36.6806,149.6564,South Coast, 122,7 883
7,-32.1932,151.7006,Hunter, 140,6 908
8,-38.2854,145.0934,Mornington Peninsula, 124,6 423
9,-26.65,153.0667,Sunshine Coast, 124,6 200
10,-29.2758,153.0148,North Coast NSW, 156,6 164
11,-34.9285,138.6007,Adelaide, 151,4 957
12,-22.5752,144.0848,Queensland Country, 157,4 573
13,-38.1493,144.3598,Geelong and the Bellarine, 136,4 533
14,-34.0557,116.0414,Australia's South West, 166,4 115
15,-33.232,151.2173,Central Coast, 120,4 031
